Date,Message
20250825,ここだけ毎日自我を出します。私、渋ハル推しです。
20250826,ここだけ毎日自我を出します。ジャンプに可能性を感じてきた。3ラウンド目で後攻から頑張れるデッキを探したい。
20250827,そういえば週末からショップ大会などが始まるらしいですね。
20250828,ふらんしすこさんの配信を見ながらシャドバの予定。
20250829,誰か良い感じのボタン配置を考えてください。保存ボタンと新規ボタンの配置をお悩み中です。
20250830,いわゆる4cVSPO!が結構好みのデッキ。
20250831,なんとなく、何も考えずに歩いてたら目的地に着いてた。
20250901,目覚ましより早く起きた。得した気分。
20250902,NeverFallについて「このカード、昔は環境トップだったんだよなぁ」って言いたくなる。
20250903,なんとなく、カレーが食べたい気分。
20250904,デッキの中身、昨日と変えてないのに気分は違う。
20250905,「今それ引いちゃうか」って、今日も言ってしまった。
20250906,引きたいカードほど、なぜかデッキの底にいる。
20250907,机の上が散らかってるけど、片付ける気はない。
20250908,デッキを組んでる時間が一番楽しい説。
20250909,今日の初手、なぜか全部重いカードだった。
220250910,電車の中でカードのことばかり考えてた。
20250911,今日は「まあいっか」が口癖になってる。
20250912,イラストだけで選んだカードが、意外と強かった。
20250913,電車で隣の人が寝てた。ちょっと羨ましい。
20250914,「事故った」で済ませるの、今日も便利だった。
20250915,タクティクスデッキ、今日も使わずに終わった。
20250916,スマホの充電、あと3%。ギリギリのスリル。
20250917,「このカード、今日の主役だったな」って思えた。
20250918,スマホの充電が切れそうなのに、対戦は白熱してる。
20250919,負けたけど、最後の一手は自分を褒めたい。
20250920,タクティクスデッキ、結局使わないまま終わることが多い。
20250921,勝ち負けより、楽しかったかどうかが大事…って思いたい。
20250922,対戦後の反省会、今日も盛り上がった。
20250923,カードのイラストだけでデッキを組みたくなる衝動。
20250924,プレイ中に「このカード、やっぱり抜こうかな」と思った。
20250925,「このカード、絶対今日活躍する」って信じてる。
20250926,「まあいっか」でデッキに入れたカードが意外と活躍。
20250927,目覚ましより早く起きたけど、結局二度寝した。
20250928,負けたけど、あの一手は我ながら良かった。
20250929,「事故った」で済ませるの、ちょっと便利。
20250930,デッキのテーマがブレてきたけど、それもまた味。
20251001,デッキの方向性が迷子。でもそれもまた楽しい。
20251002,カードの裏面、意外と好き。
20251003,デッキ構築中に、気づいたら2時間経ってた。
20251004,「このカード、今引くのかよ！」っていつも思ってる。
20251005,引きたいカードが、今日も底にいる。
20251006,友達のデッキ、ちょっと真似したくなった。
20251007,カードの効果、何回読んでも間違える。
20251008,「このカード、昔は強かったんだよなぁ」って言いたくなる。
20251009,カレー食べながらデッキ構築してたら、スパイシーな構成になった。
20251010,なんとなく、カードを1枚だけ持ち歩いてる。
20251011,目的地に着いたけど、途中ずっとカードのこと考えてた。
20251012,なんとなく、新しいカードを眺めてたら一日が終わった。
20251013,今日こそはデッキを完成させようと思ったけど、また変更。
20251014,朝食にトーストとコーヒー。平凡な幸せ。
20251015,デッキのテーマ、これで本当に合ってるのか自問自答。
20251016,今日はコンビニの新商品に挑戦。意外と美味しかった。
20251017,なんとなく、部屋の模様替えがしたい気分。
20251018,勝った時の爽快感、やっぱりやめられない。
20251019,対戦相手のデッキ、参考にさせてもらった。
20251020,なんとなく、窓の外を眺めていたら時間が過ぎた。
20251021,「あの時こうしていれば…」って、試合後にいつも思う。
20251022,今日は少し早めに寝よう。明日に備えて。
20251023,カードゲーム関係ないけど、今日空がきれいだった。
20251024,なんとなく、いつもと違う道を通ってみた。
20251025,このデッキ、もっと強くなるはずだと信じたい。
20251026,引きたいカード、今日はちゃんと来てくれた。
20251027,カフェでまったり、デッキレシピを考えてた。
20251028,なんとなく、甘いものが食べたくなった。
20251029,対戦中に熱くなりすぎて、声が大きくなった。
20251030,今日はちょっとしたサプライズがあった。
20251031,ハロウィンだからってわけじゃないけど、なんかワクワクする。
20251101,新しい月の始まり。気分も一新。
20251102,カードのストレージ、そろそろパンクしそう。
20251103,なんとなく、一人でゆっくりしたい日。
20251104,今日のプレイ、自分の中でベストだったかも。
20251105,散歩中に、ふと新しいデッキを思いついた。
20251106,「今それ引いちゃうか」って、今日も言ってしまった。
20251107,「このカード、なんで今まで使わなかったんだろう」って思った。
